country,year,total_hourly_pay_for_time_worked
bra,2010,5.380000114440918
bra,2011,6.170000076293945
bra,2012,5.840000152587891
bra,2013,5.760000228881836
can,1996,13.779999732971191
can,1997,13.720000267028809
can,1998,13.229999542236328
can,1999,13.329999923706055
can,2000,13.729999542236328
can,2001,13.210000038146973
can,2002,13.1899995803833
can,2003,15.239999771118164
can,2004,16.989999771118164
can,2005,18.770000457763672
can,2006,20.239999771118164
can,2007,22.239999771118164
can,2008,22.690000534057617
can,2009,20.579999923706055
can,2010,24.06999969482422
can,2011,25.440000534057617
can,2012,25.670000076293945
can,2013,25.469999313354492
cze,1996,2.0399999618530273
cze,1997,1.9600000381469727
cze,1998,2.140000104904175
cze,1999,2.0999999046325684
cze,2000,2.0299999713897705
cze,2001,2.2100000381469727
cze,2002,2.740000009536743
cze,2003,3.3499999046325684
cze,2004,3.9000000953674316
cze,2005,4.400000095367432
cze,2006,4.920000076293945
cze,2007,5.889999866485596
cze,2008,7.389999866485596
cze,2009,6.760000228881836
cze,2010,6.840000152587891
cze,2011,7.690000057220459
cze,2012,7.179999828338623
cze,2013,7.349999904632568
dnk,1997,19.809999465942383
dnk,1998,20.190000534057617
dnk,1999,20.18000030517578
dnk,2000,18.030000686645508
dnk,2001,18.260000228881836
dnk,2002,19.84000015258789
dnk,2003,24.450000762939453
dnk,2004,27.450000762939453
dnk,2005,28.15999984741211
dnk,2006,29.09000015258789
dnk,2007,33.61000061035156
dnk,2008,37.45000076293945
dnk,2009,37.0099983215332
dnk,2010,36.279998779296875
dnk,2011,39.040000915527344
dnk,2012,36.540000915527344
dnk,2013,37.849998474121094
est,2000,1.6799999475479126
est,2001,1.7599999904632568
est,2002,2.0399999618530273
est,2003,2.690000057220459
est,2004,3.180000066757202
est,2005,3.5999999046325684
est,2006,4.28000020980835
est,2007,5.659999847412109
est,2008,6.829999923706055
est,2009,6.360000133514404
est,2010,6.099999904632568
est,2011,6.710000038146973
est,2012,6.75
est,2013,7.5
fin,1996,15.050000190734863
fin,1997,13.59000015258789
fin,1998,13.739999771118164
fin,1999,13.680000305175781
fin,2000,12.399999618530273
fin,2001,12.569999694824219
fin,2002,13.5600004196167
fin,2003,16.709999084472656
fin,2004,19.0
fin,2005,19.760000228881836
fin,2006,20.6200008392334
fin,2007,23.020000457763672
fin,2008,25.6299991607666
fin,2009,25.81999969482422
fin,2010,24.1299991607666
fin,2011,26.110000610351562
fin,2012,24.75
fin,2013,26.260000228881836
fra,1996,14.640000343322754
fra,1997,13.100000381469727
fra,1998,13.170000076293945
fra,1999,12.819999694824219
fra,2000,11.279999732971191
fra,2001,11.199999809265137
fra,2002,12.039999961853027
fra,2003,14.75
fra,2004,16.59000015258789
fra,2005,16.850000381469727
fra,2006,17.440000534057617
fra,2007,19.540000915527344
fra,2008,21.399999618530273
fra,2009,20.920000076293945
fra,2010,21.049999237060547
fra,2011,23.59000015258789
fra,2012,22.93000030517578
fra,2013,24.15999984741211
deu,1996,18.90999984741211
deu,1997,16.65999984741211
deu,1998,16.75
deu,1999,16.170000076293945
deu,2000,14.65999984741211
deu,2001,14.5
deu,2002,15.699999809265137
deu,2003,19.34000015258789
deu,2004,21.739999771118164
deu,2005,22.079999923706055
deu,2006,22.440000534057617
deu,2007,25.010000228881836
deu,2008,27.31999969482422
deu,2009,26.440000534057617
deu,2010,25.700000762939453
deu,2011,27.549999237060547
deu,2012,26.309999465942383
deu,2013,27.889999389648438
grc,1996,7.369999885559082
grc,1997,6.769999980926514
grc,1998,6.53000020980835
grc,1999,6.590000152587891
grc,2000,5.769999980926514
grc,2001,5.239999771118164
grc,2002,6.440000057220459
grc,2003,7.949999809265137
grc,2004,9.229999542236328
grc,2005,8.859999656677246
grc,2006,9.640000343322754
grc,2007,11.470000267028809
grc,2008,13.390000343322754
grc,2009,13.180000305175781
grc,2010,12.989999771118164
grc,2011,13.15999984741211
grc,2012,11.279999732971191
grc,2013,11.029999732971191
hun,1996,1.6200000047683716
hun,1997,1.590000033378601
hun,1998,1.6200000047683716
hun,1999,1.6200000047683716
hun,2000,1.559999942779541
hun,2001,1.7899999618530273
hun,2002,2.2300000190734863
hun,2003,2.7899999618530273
hun,2004,3.3399999141693115
hun,2005,3.630000114440918
hun,2006,3.75
hun,2007,4.710000038146973
hun,2008,5.289999961853027
hun,2009,4.75
hun,2010,4.760000228881836
hun,2011,5.230000019073486
hun,2012,5.119999885559082
hun,2013,5.369999885559082
irl,1996,12.770000457763672
irl,1997,12.539999961853027
irl,1998,12.40999984741211
irl,1999,12.5
irl,2000,11.539999961853027
irl,2001,12.479999542236328
irl,2002,13.930000305175781
irl,2003,17.479999542236328
irl,2004,20.170000076293945
irl,2005,20.829999923706055
irl,2006,21.670000076293945
irl,2007,24.719999313354492
irl,2008,27.649999618530273
