country,year,total_hourly_directly_paid_benefits
est,2003,0.36000001430511475
est,2004,0.4300000071525574
est,2005,0.5
est,2006,0.6000000238418579
est,2007,0.800000011920929
est,2008,0.9800000190734863
est,2009,0.9200000166893005
est,2010,0.8899999856948853
est,2011,0.9900000095367432
est,2012,1.0099999904632568
est,2013,1.1200000047683716
fin,1996,4.159999847412109
fin,1997,3.7100000381469727
fin,1998,3.7200000286102295
fin,1999,3.6600000858306885
fin,2000,3.2899999618530273
fin,2001,3.559999942779541
fin,2002,4.099999904632568
fin,2003,5.380000114440918
fin,2004,6.5
fin,2005,6.659999847412109
fin,2006,6.849999904632568
fin,2007,7.53000020980835
fin,2008,8.260000228881836
fin,2009,8.5
fin,2010,8.119999885559082
fin,2011,8.970000267028809
fin,2012,8.6899995803833
fin,2013,9.220000267028809
fra,1996,4.769999980926514
fra,1997,4.230000019073486
fra,1998,4.210000038146973
fra,1999,4.050000190734863
fra,2000,3.5299999713897705
fra,2001,3.549999952316284
fra,2002,3.859999895095825
fra,2003,4.789999961853027
fra,2004,5.449999809265137
fra,2005,5.679999828338623
fra,2006,6.03000020980835
fra,2007,6.929999828338623
fra,2008,7.789999961853027
fra,2009,6.880000114440918
fra,2010,6.21999979019165
fra,2011,6.239999771118164
fra,2012,5.380000114440918
fra,2013,5.670000076293945
deu,1996,6.46999979019165
deu,1997,5.679999828338623
deu,1998,5.489999771118164
deu,1999,5.190000057220459
deu,2000,4.940000057220459
deu,2001,5.090000152587891
deu,2002,5.570000171661377
deu,2003,6.869999885559082
deu,2004,7.210000038146973
deu,2005,7.429999828338623
deu,2006,7.869999885559082
deu,2007,9.050000190734863
deu,2008,9.850000381469727
deu,2009,9.25
deu,2010,8.550000190734863
deu,2011,9.59000015258789
deu,2012,9.760000228881836
deu,2013,10.479999542236328
grc,1996,2.2899999618530273
grc,1997,2.140000104904175
grc,1998,2.0999999046325684
grc,1999,2.1500000953674316
grc,2000,1.9199999570846558
grc,2001,1.7599999904632568
grc,2002,2.180000066757202
grc,2003,2.7200000286102295
grc,2004,3.190000057220459
grc,2005,3.009999990463257
grc,2006,3.2200000286102295
grc,2007,3.759999990463257
grc,2008,4.309999942779541
grc,2009,4.25
grc,2010,4.179999828338623
grc,2011,4.239999771118164
grc,2012,3.640000104904175
grc,2013,3.549999952316284
hun,1996,0.4399999976158142
hun,1997,0.44999998807907104
hun,1998,0.4699999988079071
hun,1999,0.5
hun,2000,0.5
hun,2001,0.5699999928474426
hun,2002,0.7200000286102295
hun,2003,0.9100000262260437
hun,2004,1.090000033378601
hun,2005,1.2100000381469727
hun,2006,1.2699999809265137
hun,2007,1.6200000047683716
hun,2008,1.840000033378601
hun,2009,1.6399999856948853
hun,2010,1.6299999952316284
hun,2011,1.7799999713897705
hun,2012,1.7300000190734863
hun,2013,1.8200000524520874
irl,1996,2.5199999809265137
irl,1997,2.630000114440918
irl,1998,2.75
irl,1999,2.9200000762939453
irl,2000,2.8399999141693115
irl,2001,2.9600000381469727
irl,2002,3.180000066757202
irl,2003,3.819999933242798
irl,2004,4.230000019073486
irl,2005,4.699999809265137
irl,2006,5.230000019073486
irl,2007,6.369999885559082
irl,2008,7.570000171661377
irl,2009,7.880000114440918
irl,2010,7.929999828338623
irl,2011,8.640000343322754
irl,2012,8.479999542236328
irl,2013,8.65999984741211
isr,1996,0.9100000262260437
isr,1997,0.9700000286102295
isr,1998,0.9700000286102295
isr,1999,0.8999999761581421
isr,2000,0.949999988079071
isr,2001,1.1100000143051147
isr,2002,0.9700000286102295
isr,2003,1.0199999809265137
isr,2004,1.0499999523162842
isr,2005,1.0700000524520874
isr,2006,1.1200000047683716
isr,2007,1.2000000476837158
isr,2008,1.6299999952316284
isr,2009,1.5700000524520874
isr,2010,1.5199999809265137
isr,2011,1.6100000143051147
isr,2012,1.6100000143051147
isr,2013,1.8200000524520874
ita,1996,3.2899999618530273
ita,1997,3.0999999046325684
ita,1998,3.0899999141693115
ita,1999,3.0
ita,2000,2.619999885559082
ita,2001,2.5999999046325684
ita,2002,2.819999933242798
ita,2003,3.4800000190734863
ita,2004,3.950000047683716
ita,2005,4.03000020980835
ita,2006,4.170000076293945
ita,2007,4.639999866485596
ita,2008,5.090000152587891
ita,2009,5.360000133514404
ita,2010,5.619999885559082
ita,2011,6.429999828338623
ita,2012,6.460000038146973
ita,2013,6.800000190734863
jpn,1996,6.800000190734863
jpn,1997,6.309999942779541
jpn,1998,5.760000228881836
jpn,1999,6.329999923706055
jpn,2000,6.730000019073486
jpn,2001,5.960000038146973
jpn,2002,5.46999979019165
jpn,2003,5.980000019073486
jpn,2004,6.5
jpn,2005,6.570000171661377
jpn,2006,6.289999961853027
jpn,2007,6.159999847412109
jpn,2008,7.150000095367432
jpn,2009,7.400000095367432
