country,year,total_hourly_direct_pay_as_percentage_of_total_hourly_compensation_costs
isr,2004,85.5999984741211
isr,2005,84.5999984741211
isr,2006,84.5999984741211
isr,2007,84.0
isr,2008,86.0
isr,2009,85.4000015258789
isr,2010,84.30000305175781
isr,2011,83.0999984741211
isr,2012,83.5999984741211
isr,2013,83.69999694824219
ita,1996,66.4000015258789
ita,1997,66.4000015258789
ita,1998,68.80000305175781
ita,1999,68.80000305175781
ita,2000,68.4000015258789
ita,2001,68.5
ita,2002,68.80000305175781
ita,2003,68.80000305175781
ita,2004,68.80000305175781
ita,2005,69.30000305175781
ita,2006,70.19999694824219
ita,2007,70.5999984741211
ita,2008,71.0999984741211
ita,2009,71.19999694824219
ita,2010,71.4000015258789
ita,2011,71.5999984741211
ita,2012,71.69999694824219
ita,2013,71.0
jpn,1996,84.9000015258789
jpn,1997,84.5
jpn,1998,84.0
jpn,1999,83.69999694824219
jpn,2000,83.4000015258789
jpn,2001,83.0
jpn,2002,82.80000305175781
jpn,2003,82.5999984741211
jpn,2004,82.4000015258789
jpn,2005,82.19999694824219
jpn,2006,82.0999984741211
jpn,2007,82.0999984741211
jpn,2008,82.0
jpn,2009,82.0
jpn,2010,81.9000015258789
jpn,2011,81.9000015258789
jpn,2012,81.9000015258789
jpn,2013,81.9000015258789
mex,1996,65.0999984741211
mex,1997,65.80000305175781
mex,1998,66.30000305175781
mex,1999,67.19999694824219
mex,2000,67.30000305175781
mex,2001,66.5999984741211
mex,2002,67.5
mex,2003,67.9000015258789
mex,2004,68.5999984741211
mex,2005,69.30000305175781
mex,2006,69.0
mex,2007,69.30000305175781
mex,2008,69.0
mex,2009,68.9000015258789
mex,2010,70.0
mex,2011,69.9000015258789
mex,2012,69.80000305175781
mex,2013,69.5999984741211
nld,1997,77.0
nld,1998,77.5999984741211
nld,1999,78.30000305175781
nld,2000,78.9000015258789
nld,2001,78.19999694824219
nld,2002,78.0999984741211
nld,2003,77.4000015258789
nld,2004,77.5999984741211
nld,2005,78.0999984741211
nld,2006,78.5999984741211
nld,2007,79.19999694824219
nld,2008,78.69999694824219
nld,2009,78.5999984741211
nld,2010,78.5
nld,2011,78.30000305175781
nld,2012,77.80000305175781
nld,2013,77.80000305175781
nzl,1996,96.4000015258789
nzl,1997,96.5
nzl,1998,96.5999984741211
nzl,1999,96.69999694824219
nzl,2000,96.80000305175781
nzl,2001,97.0
nzl,2002,97.0
nzl,2003,97.0
nzl,2004,96.80000305175781
nzl,2005,96.80000305175781
nzl,2006,96.69999694824219
nzl,2007,96.5999984741211
nzl,2008,96.69999694824219
nzl,2009,96.30000305175781
nzl,2010,96.30000305175781
nzl,2011,95.80000305175781
nzl,2012,96.0
nzl,2013,96.0
nor,1997,85.0
nor,1998,85.0
nor,1999,85.0
nor,2000,85.0
nor,2001,84.19999694824219
nor,2002,83.5
nor,2003,82.80000305175781
nor,2004,82.0999984741211
nor,2005,82.0999984741211
nor,2006,82.0999984741211
nor,2007,82.0999984741211
nor,2008,82.0999984741211
nor,2009,82.4000015258789
nor,2010,82.5999984741211
nor,2011,82.80000305175781
nor,2012,83.0
nor,2013,83.0
phl,1996,89.9000015258789
phl,1997,90.0
phl,1998,90.0999984741211
phl,1999,90.19999694824219
phl,2000,90.69999694824219
phl,2001,91.19999694824219
phl,2002,91.30000305175781
phl,2003,91.30000305175781
phl,2004,91.4000015258789
phl,2005,91.5999984741211
phl,2006,91.5999984741211
phl,2007,91.5
phl,2008,91.19999694824219
phl,2009,92.0
phl,2010,92.19999694824219
phl,2011,92.19999694824219
phl,2012,92.19999694824219
phl,2013,92.19999694824219
pol,1997,67.30000305175781
pol,1998,67.30000305175781
pol,1999,82.30000305175781
pol,2000,82.30000305175781
pol,2001,82.19999694824219
pol,2002,82.0999984741211
pol,2003,82.0999984741211
pol,2004,82.4000015258789
pol,2005,82.80000305175781
pol,2006,83.30000305175781
pol,2007,83.69999694824219
