country,year,hourly_social_insurance_expenditures_and_labour_related_taxes_as_percentage_of_total_hourly_compensation_costs
isr,2010,15.800000190734863
isr,2011,16.899999618530273
isr,2012,16.399999618530273
isr,2013,16.299999237060547
ita,1996,33.599998474121094
ita,1997,33.599998474121094
ita,1998,31.200000762939453
ita,1999,31.200000762939453
ita,2000,31.600000381469727
ita,2001,31.5
ita,2002,31.200000762939453
ita,2003,31.200000762939453
ita,2004,31.200000762939453
ita,2005,30.700000762939453
ita,2006,29.799999237060547
ita,2007,29.399999618530273
ita,2008,28.899999618530273
ita,2009,28.799999237060547
ita,2010,28.600000381469727
ita,2011,28.399999618530273
ita,2012,28.299999237060547
ita,2013,29.0
jpn,1996,15.100000381469727
jpn,1997,15.600000381469727
jpn,1998,16.0
jpn,1999,16.299999237060547
jpn,2000,16.600000381469727
jpn,2001,17.0
jpn,2002,17.200000762939453
jpn,2003,17.399999618530273
jpn,2004,17.600000381469727
jpn,2005,17.799999237060547
jpn,2006,17.899999618530273
jpn,2007,17.899999618530273
jpn,2008,18.0
jpn,2009,18.100000381469727
jpn,2010,18.100000381469727
jpn,2011,18.100000381469727
jpn,2012,18.100000381469727
jpn,2013,18.100000381469727
mex,1996,34.900001525878906
mex,1997,34.20000076293945
mex,1998,33.70000076293945
mex,1999,32.79999923706055
mex,2000,32.70000076293945
mex,2001,33.400001525878906
mex,2002,32.5
mex,2003,32.099998474121094
mex,2004,31.399999618530273
mex,2005,30.700000762939453
mex,2006,31.0
mex,2007,30.700000762939453
mex,2008,31.0
mex,2009,31.100000381469727
mex,2010,30.0
mex,2011,30.100000381469727
mex,2012,30.200000762939453
mex,2013,30.399999618530273
nld,1997,23.0
nld,1998,22.399999618530273
nld,1999,21.799999237060547
nld,2000,21.100000381469727
nld,2001,21.899999618530273
nld,2002,21.899999618530273
nld,2003,22.600000381469727
nld,2004,22.399999618530273
nld,2005,21.899999618530273
nld,2006,21.399999618530273
nld,2007,20.899999618530273
nld,2008,21.299999237060547
nld,2009,21.399999618530273
nld,2010,21.5
nld,2011,21.700000762939453
nld,2012,22.200000762939453
nld,2013,22.200000762939453
nzl,1996,3.5999999046325684
nzl,1997,3.5
nzl,1998,3.4000000953674316
nzl,1999,3.299999952316284
nzl,2000,3.200000047683716
nzl,2001,3.0999999046325684
nzl,2002,3.0
nzl,2003,3.0
nzl,2004,3.200000047683716
nzl,2005,3.200000047683716
nzl,2006,3.299999952316284
nzl,2007,3.4000000953674316
nzl,2008,3.299999952316284
nzl,2009,3.700000047683716
nzl,2010,3.700000047683716
nzl,2011,4.199999809265137
nzl,2012,4.0
nzl,2013,4.0
nor,1997,15.0
nor,1998,15.0
nor,1999,15.0
nor,2000,15.0
nor,2001,15.800000190734863
nor,2002,16.5
nor,2003,17.200000762939453
nor,2004,17.899999618530273
nor,2005,17.899999618530273
nor,2006,17.899999618530273
nor,2007,17.899999618530273
nor,2008,17.899999618530273
nor,2009,17.700000762939453
nor,2010,17.399999618530273
nor,2011,17.200000762939453
nor,2012,17.0
nor,2013,17.0
phl,1996,10.100000381469727
phl,1997,10.0
phl,1998,9.899999618530273
phl,1999,9.800000190734863
phl,2000,9.300000190734863
phl,2001,8.800000190734863
phl,2002,8.699999809265137
phl,2003,8.800000190734863
phl,2004,8.600000381469727
phl,2005,8.399999618530273
phl,2006,8.399999618530273
phl,2007,8.5
phl,2008,8.800000190734863
phl,2009,8.0
phl,2010,7.900000095367432
phl,2011,7.900000095367432
phl,2012,7.900000095367432
phl,2013,7.900000095367432
pol,1997,32.79999923706055
pol,1998,32.79999923706055
pol,1999,17.799999237060547
pol,2000,17.799999237060547
pol,2001,17.799999237060547
pol,2002,17.899999618530273
pol,2003,17.899999618530273
pol,2004,17.600000381469727
pol,2005,17.200000762939453
pol,2006,16.700000762939453
pol,2007,16.299999237060547
pol,2008,15.800000190734863
pol,2009,16.399999618530273
pol,2010,15.5
pol,2011,16.100000381469727
pol,2012,16.600000381469727
pol,2013,16.600000381469727
prt,1996,21.299999237060547
prt,1997,20.899999618530273
prt,1998,20.5
prt,1999,20.100000381469727
prt,2000,19.700000762939453
prt,2001,19.799999237060547
prt,2002,19.899999618530273
prt,2003,20.100000381469727
prt,2004,20.200000762939453
prt,2005,20.100000381469727
prt,2006,19.899999618530273
prt,2007,19.799999237060547
prt,2008,19.700000762939453
prt,2009,19.700000762939453
prt,2010,19.799999237060547
prt,2011,19.799999237060547
prt,2012,19.799999237060547
prt,2013,19.799999237060547
sgp,1996,22.200000762939453
sgp,1997,21.799999237060547
sgp,1998,20.5
sgp,1999,14.800000190734863
sgp,2000,15.5
sgp,2001,16.100000381469727
sgp,2002,16.100000381469727
sgp,2003,16.0
sgp,2004,15.199999809265137
sgp,2005,14.300000190734863
sgp,2006,14.600000381469727
sgp,2007,14.899999618530273
sgp,2008,15.5
sgp,2009,16.100000381469727
sgp,2010,16.200000762939453
sgp,2011,16.5
sgp,2012,16.700000762939453
sgp,2013,16.700000762939453
svk,1996,31.100000381469727
svk,1997,31.100000381469727
svk,1998,30.399999618530273
svk,1999,29.200000762939453
svk,2000,29.399999618530273
svk,2001,28.100000381469727
svk,2002,28.899999618530273
svk,2003,29.700000762939453
svk,2004,27.399999618530273
svk,2005,27.200000762939453
svk,2006,27.600000381469727
svk,2007,27.700000762939453
svk,2008,28.0
svk,2009,28.600000381469727
svk,2010,27.5
svk,2011,27.100000381469727
svk,2012,27.100000381469727
svk,2013,27.100000381469727
esp,1996,25.399999618530273
esp,1997,25.299999237060547
esp,1998,25.200000762939453
esp,1999,25.100000381469727
esp,2000,25.0
esp,2001,25.100000381469727
esp,2002,25.200000762939453
esp,2003,25.399999618530273
esp,2004,25.600000381469727
esp,2005,25.700000762939453
esp,2006,25.799999237060547
esp,2007,26.100000381469727
esp,2008,25.700000762939453
esp,2009,26.600000381469727
esp,2010,26.0
esp,2011,25.299999237060547
esp,2012,26.0
esp,2013,25.799999237060547
swe,1996,30.299999237060547
swe,1997,30.600000381469727
swe,1998,30.799999237060547
swe,1999,31.100000381469727
swe,2000,31.600000381469727
swe,2001,32.0
swe,2002,32.099998474121094
swe,2003,33.0
swe,2004,33.099998474121094
swe,2005,33.20000076293945
swe,2006,32.400001525878906
swe,2007,33.70000076293945
swe,2008,32.29999923706055
swe,2009,32.5
swe,2010,31.700000762939453
swe,2011,31.0
swe,2012,30.700000762939453
swe,2013,30.399999618530273
che,1996,15.399999618530273
che,1997,15.399999618530273
che,1998,15.399999618530273
che,1999,15.399999618530273
che,2000,15.399999618530273
che,2001,15.5
che,2002,15.600000381469727
che,2003,15.5
che,2004,15.399999618530273
che,2005,15.5
che,2006,15.5
che,2007,15.5
che,2008,15.5
che,2009,15.399999618530273
che,2010,15.300000190734863
che,2011,15.300000190734863
che,2012,18.399999618530273
che,2013,18.399999618530273
twn,1996,13.800000190734863
twn,1997,13.5
twn,1998,13.399999618530273
twn,1999,13.600000381469727
twn,2000,14.199999809265137
twn,2001,14.0
twn,2002,13.199999809265137
twn,2003,12.300000190734863
twn,2004,12.199999809265137
twn,2005,13.0
twn,2006,13.5
twn,2007,14.199999809265137
twn,2008,14.699999809265137
twn,2009,14.899999618530273
twn,2010,14.800000190734863
twn,2011,14.399999618530273
twn,2012,14.600000381469727
twn,2013,14.600000381469727
gbr,1996,18.200000762939453
gbr,1997,17.600000381469727
gbr,1998,17.0
gbr,1999,17.5
gbr,2000,17.299999237060547
gbr,2001,16.299999237060547
gbr,2002,15.399999618530273
gbr,2003,15.0
gbr,2004,14.300000190734863
gbr,2005,14.399999618530273
gbr,2006,14.600000381469727
gbr,2007,14.699999809265137
gbr,2008,14.800000190734863
gbr,2009,14.600000381469727
gbr,2010,14.300000190734863
gbr,2011,14.600000381469727
gbr,2012,14.600000381469727
gbr,2013,14.600000381469727
usa,1996,21.100000381469727
usa,1997,21.0
usa,1998,20.700000762939453
usa,1999,20.299999237060547
usa,2000,20.399999618530273
usa,2001,21.100000381469727
usa,2002,21.299999237060547
usa,2003,22.0
usa,2004,22.299999237060547
usa,2005,22.399999618530273
usa,2006,22.5
usa,2007,24.0
usa,2008,23.5
usa,2009,24.100000381469727
usa,2010,24.5
usa,2011,24.299999237060547
usa,2012,23.899999618530273
usa,2013,23.899999618530273
