country,year,index_of_hourly_compensation_costs_us_100
nld,2006,113
nld,2007,119
nld,2008,131
nld,2009,121
nld,2010,114
nld,2011,118
nld,2012,111
nld,2013,116
nzl,1996,54
nzl,1997,52
nzl,1998,43
nzl,1999,42
nzl,2000,36
nzl,2001,33
nzl,2002,36
nzl,2003,44
nzl,2004,50
nzl,2005,54
nzl,2006,52
nzl,2007,59
nzl,2008,57
nzl,2009,50
nzl,2010,59
nzl,2011,66
nzl,2012,70
nzl,2013,71
nor,1997,112
nor,1998,111
nor,1999,111
nor,2000,98
nor,2001,97
nor,2002,111
nor,2003,125
nor,2004,134
nor,2005,140
nor,2006,146
nor,2007,162
nor,2008,175
nor,2009,156
nor,2010,165
nor,2011,182
nor,2012,177
nor,2013,181
phl,1996,6
phl,1997,5
phl,1998,4
phl,1999,4
phl,2000,4
phl,2001,4
phl,2002,4
phl,2003,4
phl,2004,4
phl,2005,4
phl,2006,4
phl,2007,5
phl,2008,5
phl,2009,5
phl,2010,5
phl,2011,6
phl,2012,6
phl,2013,6
pol,1997,14
pol,1998,15
pol,1999,15
pol,2000,14
pol,2001,15
pol,2002,15
pol,2003,16
pol,2004,17
pol,2005,19
pol,2006,21
pol,2007,24
pol,2008,30
pol,2009,23
pol,2010,24
pol,2011,26
pol,2012,24
pol,2013,25
prt,1996,32
prt,1997,28
prt,1998,28
prt,1999,27
prt,2000,24
prt,2001,23
prt,2002,24
prt,2003,28
prt,2004,31
prt,2005,31
prt,2006,33
prt,2007,35
prt,2008,38
prt,2009,36
prt,2010,35
prt,2011,37
prt,2012,35
prt,2013,35
sgp,1996,53
sgp,1997,53
sgp,1998,49
sgp,1999,46
sgp,2000,47
sgp,2001,47
sgp,2002,44
sgp,2003,45
sgp,2004,45
sgp,2005,44
sgp,2006,45
sgp,2007,49
sgp,2008,58
sgp,2009,51
sgp,2010,56
sgp,2011,65
sgp,2012,68
sgp,2013,66
svk,1996,12
svk,1997,12
svk,1998,12
svk,1999,11
svk,2000,10
svk,2001,10
svk,2002,12
svk,2003,15
svk,2004,18
svk,2005,19
svk,2006,22
svk,2007,27
svk,2008,33
svk,2009,33
svk,2010,31
svk,2011,33
svk,2012,32
svk,2013,34
esp,1996,69
esp,1997,61
esp,1998,60
esp,1999,58
esp,2000,50
esp,2001,48
esp,2002,50
esp,2003,61
